player_name,team,strict_wins,vorp,strict_wins_rank,vorp_rank,rank_delta,z_delta,percentile_delta,ws_48,win_shares
Jrue Holiday,POR,6.811,1.6,186.0,68.0,118.0,-0.6947234404765318,0.24472573839662445,0.109,3.6
Carter Bryant,SAS,6.807,-0.2,187.0,379.0,-192.0,0.8872185326914249,-0.4356540084388186,0.076,1.3
Jamal Cain,ORL,6.78,0.1,188.0,246.0,-58.0,0.6056310128895452,-0.15928270042194098,0.116,1.2
Landry Shamet,NYK,6.772,0.5,189.0,169.0,20.0,0.24832754117386435,0.02953586497890298,0.106,2.6
Luke Kennard,LAL,6.767,0.3,190.0,195.0,-5.0,0.4211464558823682,-0.0348101265822785,0.118,1.8
Malik Monk,SAC,6.766,0.2,191.0,219.0,-28.0,0.5085280500948426,-0.08649789029535865,0.034,1.0
Derrick White,BOS,6.763,3.5,192.0,11.0,181.0,-2.3983958435141677,0.37869198312236285,0.129,7.0
Bobby Portis,MIL,6.752,0.8,193.0,134.0,59.0,-0.028723339956309296,0.11814345991561181,0.083,2.8
Kenrich Williams,OKC,6.751,0.5,194.0,169.0,25.0,0.23471762515874545,0.04008438818565402,0.13,2.3
Ryan Dunn,PHX,6.74,0.4,195.0,182.0,13.0,0.3156183069830681,0.014767932489451518,0.093,2.6
Kel'el Ware,MIA,6.731,1.8,196.0,56.0,140.0,-0.9226301104843267,0.2890295358649789,0.175,6.2
Cam Spencer,MEM,6.713,1.8,197.0,56.0,141.0,-0.934295752783,0.2911392405063291,0.149,5.3
Branden Carlson,OKC,6.702,0.4,198.0,182.0,16.0,0.2909908399080907,0.02109704641350213,0.171,1.7
DeAndre Jordan,NOP,6.686,0.1,199.0,246.0,-47.0,0.5447104364409172,-0.13607594936708867,0.134,0.6
LJ Cryer,GSW,6.683,-0.2,200.0,379.0,-179.0,0.806855219078341,-0.40611814345991565,0.045,0.3
Aaron Nesmith,IND,6.683,-0.5,200.0,444.0,-244.0,1.0709442754322107,-0.5210970464135021,0.026,0.7
Daniel Gafford,DAL,6.683,0.8,200.0,134.0,66.0,-0.07344163543455737,0.13502109704641346,0.167,4.1
Leonard Miller,CHI,6.682,0.2,203.0,219.0,-16.0,0.4540883860343669,-0.06118143459915615,0.113,1.5
Quinten Post,GSW,6.667,0.3,204.0,195.0,9.0,0.3563373320008489,-0.0052742616033755185,0.078,1.9
Simone Fontecchio,MIA,6.657,0.7,205.0,141.0,64.0,-0.0022623221924622516,0.120253164556962,0.106,2.6
Jordan Goodwin,PHX,6.647,1.5,206.0,73.0,133.0,-0.7129807181909329,0.27109704641350213,0.118,3.9
Tyson Etienne,BKN,6.646,-0.1,207.0,327.0,-120.0,0.6948461577908893,-0.30696202531645567,0.069,0.5
Malaki Branham,WAS,6.645,0.0,208.0,282.0,-74.0,0.6061683811007841,-0.20253164556962028,0.064,0.4
Miles Bridges,CHA,6.635,1.9,209.0,54.0,155.0,-1.0728765548618746,0.3259493670886076,0.13,6.5
Jaime Jaquez Jr.,MIA,6.62,1.1,210.0,103.0,107.0,-0.37836043983378376,0.2172995780590717,0.094,4.2
Dylan Cardwell,SAC,6.609,0.0,211.0,282.0,-71.0,0.5828370965034375,-0.19620253164556967,0.122,2.3
Hunter Tyson,DEN,6.607,-0.2,212.0,379.0,-167.0,0.7576002849283868,-0.38291139240506333,-0.013,0.0
Brandin Podziemski,GSW,6.605,1.3,213.0,90.0,123.0,-0.564141179318591,0.2521097046413502,0.105,5.1
Max Strus,CLE,6.601,0.1,214.0,246.0,-32.0,0.48962268114162616,-0.1044303797468355,0.116,0.7
Sam Merrill,CLE,6.595,0.7,215.0,141.0,74.0,-0.042443978999004206,0.14135021097046413,0.127,3.7
Cooper Flagg,DAL,6.588,2.0,216.0,50.0,166.0,-1.1913665285374782,0.3470464135021097,0.078,3.8
Mike Conley,MIN,6.583,0.2,217.0,219.0,-2.0,0.389927353391663,-0.03164556962025317,0.092,1.9
Dominick Barlow,PHI,6.575,0.4,218.0,182.0,36.0,0.20868325257856174,0.06434599156118143,0.112,3.9
Mark Williams,PHX,6.575,1.4,218.0,83.0,135.0,-0.6716136019343366,0.2795358649789029,0.215,6.3
Craig Porter Jr.,CLE,6.57,1.2,220.0,98.0,122.0,-0.49879468722583287,0.25316455696202533,0.116,2.8
VJ Edgecombe,PHI,6.569,1.0,221.0,112.0,109.0,-0.3233834075620686,0.22151898734177217,0.081,4.4
Klay Thompson,DAL,6.569,0.2,221.0,219.0,2.0,0.38085407604825017,-0.022151898734177222,0.018,0.5
Will Richard,GSW,6.567,0.1,223.0,246.0,-23.0,0.46758757902190984,-0.08544303797468356,0.089,2.5
Donovan Clingan,POR,6.565,2.6,224.0,26.0,198.0,-1.734450739737967,0.41455696202531644,0.197,8.6
Tyrese Martin,PHI,6.555,-0.1,225.0,327.0,-102.0,0.635869855058707,-0.2689873417721519,-0.057,-0.1
PJ Hall,CHA,6.512,0.0,226.0,282.0,-56.0,0.5199722463383638,-0.1645569620253165,0.121,0.5
Jaylen Clark,MIN,6.504,-0.1,227.0,327.0,-100.0,0.6028172018791321,-0.26476793248945146,0.09,1.7
Josh Minott,BKN,6.501,0.4,228.0,182.0,46.0,0.16072450090623783,0.08438818565400846,0.08,0.5
