rank,player_name,player_id,team,position,sim_mean_salary,sim_median_salary,sim_p25_salary,sim_p75_salary,sim_salary_std,sim_mean_score,fmv_band,projected_games,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_pct,ft_pct,three_pt_pct,fta,fantasy_points,ceiling,floor,consistency,fga,fgm,tpa,tpm,ftm,usage_rate
51,Evan Mobley,1630596,CLE,C,23292696.5,23335699.03,22567796.69,23847633.93,880460.16,13.5394,core,65,31.6,17.0,9.3,2.9,0.8,1.6,2.0,0.55,0.675,0.334,4.4,37.8,57.4,19.5,67,12.2,6.7,2.1,0.7,3.0,0.5
52,Stephen Curry,201939,GSW,PG,23182118.57,23079731.59,22567796.69,23847633.93,922974.75,13.487,core,55,31.3,21.1,3.8,5.6,1.1,0.4,2.6,0.456,0.901,0.392,4.1,35.9,55.2,17.3,73,15.5,7.1,8.3,3.3,3.7,0.4
53,Rudy Gobert,203497,MIN,C,23179814.86,23079731.59,22567796.69,23847633.93,904334.08,13.4771,core,71,32.3,13.3,10.8,2.0,0.8,1.6,1.6,0.585,0.646,0.31,4.2,34.6,52.8,17.6,70,8.9,5.2,0.5,0.2,2.7,0.5
54,Brandon Miller,1641706,CHA,SF,23092529.96,23079731.59,22311829.24,23847633.93,878438.37,13.4399,core,60,32.5,18.7,5.6,3.1,1.0,0.7,2.3,0.443,0.819,0.365,3.6,33.2,51.3,16.1,70,15.1,6.7,6.4,2.4,3.0,0.5
55,Giannis Antetokounmpo,203507,MIA,SF,22726859.13,22567796.69,22055861.79,23335699.03,857653.74,13.2509,core,52,32.1,23.8,9.1,4.8,1.0,0.8,2.7,0.567,0.67,0.342,7.7,44.7,70.1,21.4,69,15.8,9.0,2.1,0.7,5.1,0.5
56,Immanuel Quickley,1630193,TOR,PG,22624269.51,22311829.24,22055861.79,23079731.59,822815.11,13.1926,core,63,31.5,16.9,4.0,5.3,1.1,0.2,1.8,0.44,0.833,0.374,3.6,31.8,49.2,15.6,71,13.3,5.9,5.9,2.2,3.0,0.5
57,Jalen Duren,1631105,DET,C,22282094.36,22055861.79,21799894.34,22567796.69,732817.74,13.0091,core,68,29.4,15.9,10.2,2.2,0.8,1.1,2.0,0.595,0.719,0.353,4.6,35.0,52.6,17.6,63,10.5,6.2,0.4,0.1,3.3,0.5
58,Nikola Vučević,202696,BOS,C,21721408.33,21543926.9,21543926.9,21799894.34,499344.1,12.5827,starter,64,30.5,15.6,9.1,3.0,0.7,1.0,1.6,0.502,0.761,0.361,2.6,34.5,52.0,17.8,64,12.5,6.3,3.1,1.1,1.9,0.4
59,Onyeka Okongwu,1630168,ATL,PF,21263301.25,21287959.45,21031992.0,21341286.0,267187.34,11.9608,starter,70,30.8,15.2,7.4,2.7,1.0,0.9,1.7,0.495,0.772,0.359,3.4,32.2,49.7,15.2,67,11.4,5.7,3.5,1.3,2.6,0.5
60,Stephon Castle,1642264,SAS,PG,21208364.24,21287959.45,21031992.0,21341286.0,265877.15,11.8592,starter,68,30.4,16.0,4.5,5.5,1.1,0.3,2.6,0.449,0.751,0.334,4.4,31.3,48.4,15.0,65,12.6,5.7,4.0,1.4,3.3,0.5
61,DeMar DeRozan,201942,SAC,SG,21075602.45,21149310.41,20957334.83,21341286.0,289134.0,11.5251,starter,74,33.3,18.4,3.6,5.0,1.0,0.3,1.6,0.475,0.86,0.359,4.9,32.5,50.3,15.8,65,13.6,6.5,3.4,1.2,4.2,0.4
62,Naji Marshall,1630230,DAL,SF,20906546.62,20957334.83,20765359.24,21149310.41,352007.49,11.2874,starter,71,29.4,14.5,5.4,2.9,1.0,0.3,1.7,0.489,0.777,0.328,3.5,27.8,42.4,14.0,60,11.1,5.4,3.1,1.0,2.7,0.5
63,Zion Williamson,1629627,NOP,SF,20874774.66,20957334.83,20573383.66,21149310.41,370917.03,11.2134,starter,60,31.3,20.3,6.5,3.7,1.1,0.7,2.3,0.535,0.72,0.345,6.2,36.7,56.5,17.3,71,14.2,7.6,1.7,0.6,4.5,0.5
64,Jaylen Brown,1627759,BOS,SG,20864365.32,20957334.83,20573383.66,21149310.41,354059.54,11.2117,starter,68,33.8,22.1,5.4,4.7,1.1,0.4,2.7,0.47,0.787,0.352,5.2,37.5,58.5,17.9,73,17.2,8.1,5.3,1.9,4.1,0.5
65,Andrew Wiggins,203952,MIA,SF,20583217.07,20573383.66,20381408.07,20957334.83,425548.28,10.8754,starter,65,30.9,15.8,5.4,2.7,1.0,0.8,1.6,0.465,0.775,0.385,3.3,30.2,47.3,14.5,72,12.5,5.8,4.3,1.6,2.6,0.5
66,Jrue Holiday,201950,POR,PG,20470410.08,20381408.07,20189432.48,20765359.24,457399.58,10.7629,starter,59,31.1,14.5,4.3,5.1,1.1,0.3,2.1,0.452,0.848,0.377,2.2,29.4,47.2,13.7,68,11.7,5.3,5.4,2.0,1.9,0.4
67,OG Anunoby,1628384,NYK,SG,19896477.74,19997456.9,19613505.72,20189432.48,556044.42,10.245,starter,66,34.0,16.8,5.7,2.5,1.3,0.7,1.8,0.478,0.797,0.375,3.4,31.6,48.2,15.9,60,12.7,6.1,5.0,1.9,2.7,0.5
68,Max Christie,1631108,DAL,PG,19769581.88,19805481.31,19421530.14,20189432.48,574068.99,10.1361,starter,73,28.6,12.8,3.5,3.0,0.9,0.3,1.6,0.443,0.835,0.379,2.5,23.5,36.4,11.2,64,10.1,4.5,4.5,1.7,2.1,0.5
