player_name,player_id,team,position,sim_mean_salary,sim_median_salary,sim_p25_salary,sim_p75_salary,sim_salary_std,sim_mean_score,fmv_band
Herbert Jones,1630529,NOP,SF,14544497.02,14584811.9,14264852.59,14744791.55,415716.18,5.675,starter
Domantas Sabonis,1627734,SAC,PF,14424314.97,14424832.24,14104872.93,14584811.9,417712.69,5.5345,starter
Andrew Nembhard,1629614,IND,SG,14186462.56,14227524.0,13944893.28,14424832.24,389736.62,5.2505,starter
Dillon Brooks,1628415,PHX,SG,14102899.85,14104872.93,13904898.36,14424832.24,373441.97,5.1614,starter
Julian Champagnie,1630577,SAS,SF,14008719.83,13944893.28,13784913.62,14264852.59,359033.94,5.049,starter
Collin Sexton,1629012,CHI,PG,13841317.12,13784913.62,13624933.97,14104872.93,358291.02,4.7976,starter
Duncan Robinson,1629130,DET,SF,13698551.27,13624933.97,13464954.31,13944893.28,351556.8,4.52,starter
Ja Morant,1629630,MEM,PG,13672069.31,13624933.97,13459621.66,13944893.28,367167.43,4.3775,starter
Jalen Williams,1631114,OKC,SG,13662294.55,13624933.97,13304974.66,13971556.55,378354.57,4.2755,starter
Kel'el Ware,1642276,MIA,C,13604365.92,13624933.97,13304974.66,13971556.55,448413.86,4.0806,starter
Kevin Porter Jr.,1629645,MIL,SG,13582102.08,13624933.97,13304974.66,13971556.55,473890.15,3.9759,starter
Ayo Dosunmu,1630245,MIN,PG,13579531.74,13624933.97,13304974.66,13971556.55,498539.43,3.9922,starter
Bennedict Mathurin,1631097,LAC,SG,13560723.47,13587605.38,13304974.66,13971556.55,480112.52,3.913,starter
Marcus Smart,203935,LAL,PG,13538390.31,13587605.38,13203654.21,13944893.28,490517.92,3.9554,starter
Harrison Barnes,203084,SAS,SF,13442423.84,13464954.31,13144995.0,13843572.83,563851.02,3.7665,starter
Coby White,1629632,CHA,PG,13430484.03,13464954.31,13144995.0,13843572.83,586145.09,3.7542,starter
Draymond Green,203110,GSW,SF,13029433.7,13203654.21,12563735.59,13587605.38,753857.16,3.4268,starter
Anfernee Simons,1629014,CHI,PG,12881473.85,12947686.76,12307768.14,13459621.66,771747.68,3.335,starter
Tre Jones,1630200,CHI,PG,12830634.98,12947686.76,12307768.14,13459621.66,816031.4,3.3173,starter
Jalen Suggs,1630591,ORL,PG,12750391.85,12819703.03,12179784.41,13331637.93,801201.4,3.2685,starter
Jarrett Allen,1628386,CLE,C,12727330.78,12819703.03,12179784.41,13331637.93,784797.55,3.2315,starter
Bobby Portis,1626171,MIL,SF,12621864.19,12691719.31,12179784.41,13203654.21,798726.68,3.1817,starter
Kyle Kuzma,1628398,MIL,SF,12472237.89,12563735.59,11923816.97,13075670.48,809692.89,3.098,starter
Naz Reid,1629675,MIN,PF,12467238.52,12563735.59,11923816.97,13075670.48,836764.27,3.1006,starter
Kelly Oubre Jr.,1626162,PHI,SG,12333111.58,12307768.14,11667849.52,12947686.76,848272.63,3.025,starter
Ty Jerome,1629660,MEM,SG,12314196.65,12307768.14,11795833.24,12947686.76,813314.98,3.0059,starter
